,id,is_phd,hindu,been_abroad,hindi,north,is_right
0,id_1000,1,1,1,0,1,0
1,id_1001,0,1,0,1,1,1
2,id_1002,0,1,0,1,1,1
3,id_1003,0,1,0,1,1,0
4,id_1004,0,1,0,1,1,0
5,id_1005,0,1,0,1,1,1
6,id_1006,0,1,0,1,1,0
7,id_1007,1,1,1,0,1,0
8,id_1008,0,1,1,0,1,1
9,id_1009,0,1,1,0, 1,1
10,id_1010,0, 1,0,1, 1,1
11,id_1011,0, 1,0,1, 1,1
12,id_1012,1, 1,0,0, 1,0
13,id_1013,0, 1,0,1, 1,1
14,id_1014,0, 1,1,0, 1,1
15,id_1015,1, 1,1,0, 1,0
16,id_1016,0, 1,0,0, 1,0
17,id_1017,0, 1,1,0, 1,0
18,id_1018,0, 1,1,0, 1,0
19,id_1019,0, 1,0,1, 0,0
20,id_1020,0, 1,1,0, 1,0
21,id_1021,1, 1,1,0, 1,0
22,id_1022,0, 1,0,0, 1,0
23,id_1023,0, 1,0,0, 0,0
24,id_1024,0, 1,1,0, 1,1
25,id_1025,1, 1,1,0, 1,0
26,id_1026,0, 1,0,1, 1,1
27,id_1027,0, 1,0,1, 1,1
28,id_1028,0, 1,0,1, 1,1
29,id_1029,0, 1,1,0, 1,0
30,id_1030,0, 1,0,1, 1,1
31,id_1031,1, 1,0,1, 1,0
32,id_1032,1, 1,1,0, 0,0
33,id_1033,1, 1,1,0, 0,0
34,id_1034,1, 1,1,0, 0,0
35,id_1035,0, 1,0,1, 1,1
36,id_1036,1, 1,1,0, 1,0
37,id_1037,1, 1,1,0, 1,0
38,id_1038,1, 1,1,0, 0,0
39,id_1039,0, 1,0,1, 1,1
40,id_1040,1, 1,1,0, 0,0
41,id_1041,0, 1,1,0, 0,0
42,id_1042,1, 1,1,0, 0,0
43,id_1043,0, 1,0,1, 1,1
44,id_1044,0, 1,0,1, 1,1
45,id_1045,1, 1,0,1, 1,0
46,id_1046,1, 1,1,0, 0,0
47,id_1047,1, 1,1,0, 1,0
48,id_1048,0, 1,0,1, 1,1
49,id_1049,0, 1,0,1, 1,0
50,id_1050,0, 1,0,1, 1,1
51,id_1051,1, 1,0,1, 1,1
52,id_1052,1, 1,1,0, 0,0
53,id_1053,0, 1,0,1, 1,1
54,id_1054,0, 1,0,1, 1,1
55,id_1055,1, 1,1,0, 1,0
56,id_1056,0, 1,0,1, 1,1
57,id_1057,1, 1,1,0, 1,0
58,id_1058,1, 1,1,0, 1,0
59,id_1059,1, 1,1,0, 1,0
60,id_1060,1, 1,1,0, 1,0
61,id_1061,1, 1,1,1, 1,1
62,id_1062,1, 1,1,0, 0,0
63,id_1063,1, 1,1,0, 1,0
64,id_1064,1, 1,1,0, 0,0
65,id_1065,0, 1,1,1, 1,1
66,id_1066,1, 1,1,0, 1,1
67,id_1067,0, 1,0,1, 1,0
68,id_1068,0, 1,1,1, 1,1
69,id_1069,1, 1,1,0, 0,0
70,id_1070,1, 1,1,0, 0,0
71,id_1071,1, 1,1,0, 1,0
72,id_1072,1, 1,1,0, 0,0
73,id_1073,1, 1,1,0, 1,0
74,id_1074,0, 1,0,1, 1,1
75,id_1075,1, 1,1,0, 0,0
76,id_1076,1, 1,1,1, 1,1
77,id_1077,1, 1,1,1, 1,1
78,id_1078,1, 1,1,0, 1,0
79,id_1079,1, 1,1,0, 1,0
80,id_1080,1, 1,1,0, 1,0
81,id_1081,1, 1,1,0, 1,0
82,id_1082,1, 1,1,0, 0,0
83,id_1083,1, 1,1,0, 0,0
84,id_1084,0, 1,0,1, 1,1
85,id_1085,1, 1,1,0, 1,0
86,id_1086,1, 1,1,0, 0,0
87,id_1087,1, 1,1,0, 1,0
88,id_1088,1, 1,1,0, 1,0
89,id_1089,1, 1,1,0, 0,0
90,id_1090,1, 1,1,1, 1,1
91,id_1091,0, 1,0,1, 1,1
92,id_1092,1, 1,1,0, 0,1
93,id_1093,0, 1,1,0, 1,0
94,id_1094,1, 1,1,1, 1,1
95,id_1095,1, 1,1,0, 0,0
96,id_1096,0, 1,0,0, 1,1
97,id_1097,0, 1,0,1, 1,1
98,id_1098,0, 1,1,1, 1,1
99,id_1099,0, 1,1,1, 1,1
100,id_1100,1, 1,1,0, 1,0
101,id_1101,0, 1,0,1, 1,1
102,id_1102,0, 1,0,1, 1,1
103,id_1103,1, 1,1,0, 1,0
104,id_1104,0, 1,0,1, 1,1
105,id_1105,0, 1,0,1, 1,1
106,id_1106,1, 1,1,0, 0,1
107,id_1107,0, 1,0,1, 0,0
108,id_1108,1, 1,1,0, 1,0
109,id_1109,1, 1,1,0, 1,0
110,id_1110,0, 1,0,1, 1,1
111,id_1111,1, 1,1,0, 1,0
112,id_1112,0, 1,0,1, 1,1
113,id_1113,0, 1,0,0, 1,0
114,id_1114,1, 1,0,1, 1,1
115,id_1115,0, 1,0,1, 1,1
116,id_1116,0, 1,0,0, 1,0
117,id_1117,0, 1,0,1, 1,1
118,id_1118,1, 1,0,1, 1,1
119,id_1119,0, 1,0,1, 1,1
120,id_1120,1, 1,1,0, 1,0
121,id_1121,1, 1,1,0, 1,0
122,id_1122,1, 1,1,0, 1,0
123,id_1123,1, 1,0,1, 1,1
124,id_1124,1, 1,1,0, 0,0
125,id_1125,1, 0,1,0, 0,0
126,id_1126,1, 1,1,0, 1,0
127,id_1127,1, 1,1,0, 0,0
128,id_1128,1, 1,1,0, 1,0
129,id_1129,0, 1,0,1, 1,1
130,id_1130,0, 1,0,1, 1,1
131,id_1131,0, 1,0,1, 1,1
132,id_1132,0, 1,0,1, 1,1
133,id_1133,1, 1,1,0, 1,0
134,id_1134,1, 1,1,0, 1,0
135,id_1135,0, 1,0,1, 1,1
136,id_1136,0, 1,0,1, 1,1
137,id_1137,0, 1,0,1, 0,1
138,id_1138,1, 1,1,0, 1,0
139,id_1139,1, 1,1,0, 1,0
140,id_1140,1, 1,1,0, 1,0
141,id_1141,1, 1,1,0, 1,0
142,id_1142,1, 1,1,0, 1,0
143,id_1143,0, 1,0,1, 1,1
144,id_1144,1, 1,1,0, 0,1
145,id_1145,1, 1,1,0, 1,0
146,id_1146,1, 1,1,0, 1,0
147,id_1147,1, 1,1,0, 1,0
148,id_1148,0, 1,0,1, 0,1
149,id_1149,1, 1,1,0, 1,0
150,id_1150,1, 1,1,0, 1,0
151,id_1151,1, 1,1,0, 1,0
152,id_1152,1, 1,1,0, 1,0
153,id_1153,1, 1,1,0, 1,0
154,id_1154,1, 1,1,0, 1,0
155,id_1155,1, 1,1,0, 1,0
156,id_1156,1, 1,1,0, 1,0
157,id_1157,1, 1,1,0, 1,0
